,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
0,4 June 201018:45,F9 v1.0[2] B0003[3],"CCSFS,SLC-40",Dragon Spacecraft Qualification Unit,No payload (excl. Dragon Mass),LEO,SpaceX,Success,Failure[4][5](parachute),2010-06-04 18:45:00,Friday,2010,6,18:45:00,Summer
1,8 December 201015:43[8],F9 v1.0[2] B0004[3],"CCSFS,SLC-40",SpaceX COTS Demo Flight 1(Dragon C101),Unknown (excl. Dragon Mass),LEO (ISS),NASA (COTS)various others[9],Success,Failure[4][10](parachute),2010-12-08 15:43:00,Wednesday,2010,12,15:43:00,Winter
2,22 May 201207:44[13],F9 v1.0[2] B0005[3],"CCSFS,SLC-40",SpaceX COTS Demo Flight 2[14](Dragon C102),"525 kg (1,157 lb)[15] (excl. Dragon mass)",LEO (ISS),NASA (COTS),Success,No attempt,2012-05-22 07:44:00,Tuesday,2012,5,07:44:00,Spring
3,8 October 201200:35[17],F9 v1.0[2] B0006[3],"CCSFS,SLC-40",SpaceX CRS-1[18](Dragon C103),"4,700 kg (10,400 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt,2012-10-08 00:35:00,Monday,2012,10,00:35:00,Autumn
4,1 March 201315:10,F9 v1.0[2] B0007[3],"CCSFS,SLC-40",SpaceX CRS-2[18](Dragon C104),"4,877 kg (10,752 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt,2013-03-01 15:10:00,Friday,2013,3,15:10:00,Spring
5,29 September 201316:00[26],F9 v1.1[2] B1003[3],"VSFB,SLC-4E",CASSIOPE[18][27],"500 kg (1,100 lb)",Polar orbit LEO,MDA,Success,Uncontrolled(ocean)[c],2013-09-29 16:00:00,Sunday,2013,9,16:00:00,Autumn
6,3 December 201322:41[30],F9 v1.1 B1004,"CCSFS,SLC-40",SES-8[18][31][32],"3,170 kg (6,990 lb)",GTO,SES,Success,No attempt[34],2013-12-03 22:41:00,Tuesday,2013,12,22:41:00,Winter
7,6 January 201422:06[37],F9 v1.1,"CCSFS,SLC-40",Thaicom 6[18],"3,325 kg (7,330 lb)",GTO,Thaicom,Success,No attempt[39],2014-01-06 22:06:00,Monday,2014,1,22:06:00,Winter
8,18 April 201419:25[17],F9 v1.1,"CCSFS,SLC-40",SpaceX CRS-3[18](Dragon C105),"2,296 kg (5,062 lb)[41] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Controlled(ocean)[c][42],2014-04-18 19:25:00,Friday,2014,4,19:25:00,Spring
9,14 July 201415:15,F9 v1.1,"CCSFS,SLC-40",Orbcomm-OG2-1(6 satellites)[18],"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,Controlled(ocean)[c][42],2014-07-14 15:15:00,Monday,2014,7,15:15:00,Summer
10,5 August 201408:00,F9 v1.1,"CCSFS,SLC-40",AsiaSat 8[18][50][51],"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,No attempt[53],2014-08-05 08:00:00,Tuesday,2014,8,08:00:00,Summer
11,7 September 201405:00,F9 v1.1 B1011[3],"CCSFS,SLC-40",AsiaSat 6[18][50][54],"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,No attempt,2014-09-07 05:00:00,Sunday,2014,9,05:00:00,Autumn
